COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate,Fertility Rate,Tabacco Consumption,Obesity Rate,Internet Users (in %),Median Age,Economic Freedom Score,Oil Production,Population Growth Rate,Life Expectancy,Meat Consumption per kg,Incarceration Rate (per 100 000),Literacy Rate,Age at First Marriage,Spending on Education (in %),Homeless Population (per 10 000),Milk Consumption,Num. of Scientific and Technical Journals Articles,Books Published,Kilocalories,Avg. Yearly Temperature (in Celsius)
Georgia,4439.0,158.80103081677908,9.8,2.2,12.473982921930334,0.812,5.31,19.71760680229849,0.81,0.8859999999999999,0.107,0.02133178074372341,9.5e-05,9.6,14.0,106.0,1.28,0.364,796.0,7.7,2.055,34.4,21.7,0.861,38.6,75.9,102.0,-0.27,73.3,26.0,245.0,99.1,26.6,3.8,760.0,149.26,137.399,581.0,2730.0,5.8
Germany,46232.0,120.93,13.4,0.9,1.4,0.947,8.67,30.0,0.4,0.55,0.0655,0.003,0.0074,3.8,14.0,22214.0,1.65,0.319,6098.0,8.3,1.54,33.6,22.3,0.936,47.8,73.5,571.0,0.2,81.7,82.1,69.0,106.07741037017087,30.9,4.8,81.9,258.7,1255.901,79916.0,3540.0,8.4
Ghana,2203.0,51.93,2.7,2.1,0.7971481587703401,0.611,6.5,6.214102099389152,0.95,0.7120000000000001,0.176,0.001,0.0678371662711118,46.2,12.54714511088517,482.0,0.3,0.435,168.0,10.5,3.816,6.5,10.9,0.1369999999999999,21.4,57.5,3564.0,2.16,66.3,9.9,43.0,34.9,21.7,3.6,32.9,9.08,45.237,28.0,2900.0,27.2
Greece,19604.0,36.73,10.4,0.9,1.9339146475224593,0.888,7.39,40.0,0.71,0.93,0.0385,0.001,0.00027,3.8,15.0,10389.0,2.98,0.344,2340.0,3.6,1.35,50.2,24.9,0.753,45.3,57.7,285.0,-0.21,81.1,78.7,107.0,92.5,29.9,4.1,37.1,255.26,1036.566,6826.0,3710.0,15.4
Guatemala,4363.0,42.177150446452174,2.4,22.5,2.892549441623183,0.663,4.97,14.98198619918557,0.88,0.87,0.001,0.001,5.7e-05,24.5,12.14782242294798,3941.0,0.28,0.483,483.0,6.2,2.822,25.80764088389533,21.2,0.3989999999999999,23.2,62.6,544.0,1.94,72.0,23.8,139.0,50.7,21.3,2.8,315.0,46.6,5.798,1042.0,2150.0,23.45
Guinea,967.0,65.91006017221366,1.3,4.311333240593555,1.2318485389931253,0.477,3.08,25.520711924635094,0.97,0.089,0.8909999999999999,0.001,0.010226713140576882,98.8,10.0,1579.6878422033988,0.2,0.337,109.0,12.3,4.625,20.255746817496735,7.7,0.1169999999999999,19.1,55.7,61605.67498993058,2.57,61.0,6.5,28.0,13.1,16.5,2.2,-53.0541578738671,20.62,2.255,-14341.102743121766,2550.0,25.7
Guinea Bissau,688.0,-3.6555309011106374,4.8,1.1,1.1662926590161193,0.48,2.63,18.24445321386031,0.8790641548410223,0.1,0.451,0.09732256145564222,0.02998627344770799,78.5,16.0,390.0,0.94,0.507,123.0,12.4,4.402,28.6408668529357,9.5,0.039,18.0,54.0,53752.082284430704,2.44,60.2,13.0,10.0,19.5,20.9,2.1,63.52851913276186,19.88,8.003,-36303.64624046025,2270.0,26.75
Guyana,6610.0,45.37,6.3,14.2,3.4636528802585156,0.682,6.01,52.60713190943298,0.6293922830907536,0.64,0.073,0.001,0.07925354937031248,29.3,10.096368762427206,2015.0,0.36,0.446,513.0,40.9,2.44,26.9,20.2,0.373,27.5,56.8,33692.780590073606,0.57,65.7,31.8,239.0,49.9,21.5,6.3,-66.9090511975179,141.68,17.972,42.0,2740.0,26.0
Haiti,715.0,35.529230234610736,5.8,6.7,-1.3672386054061096,0.51,4.22,-0.7409843332411867,0.85,0.96,0.001,0.001,-0.026159917223687823,62.8,13.141995297622168,1075.0,0.24,0.411,144.0,11.2,2.887,12.4,22.7,0.122,24.1,52.7,61248.77914027959,1.2,64.1,15.3,97.0,8.5,23.7,2.5,34.0,18.98,2.607,-17946.940882638875,1850.0,24.9
Honduras,2575.0,112.0985493392576,4.0,38.9,13.629831672676133,0.634,5.36,-5.971030359480267,0.7705597469115955,0.88,0.003,0.001,-0.07023959654492062,16.8,11.927627505363239,2372.0,0.38,0.521,362.0,2.6,2.427,29.95723163592541,21.4,0.311,24.4,60.2,-83179.69172531465,1.63,71.9,24.7,237.0,66.3,21.2,6.0,1235.0,91.33,4.694,102.0,2610.0,23.5
Hungary,16879.0,193.8,11.4,2.5,2.5987503683654216,0.854,6.56,32.0,0.39,0.58935,0.005,0.001,0.003,3.7,12.0,6647.0,1.6,0.306,2115.0,11.8,1.49,40.0,26.4,0.769,43.6,65.0,1426.0,-0.34,76.4,100.7,169.0,99.1,29.3,4.7,10.0,159.05,690.291,11645.0,3470.0,9.75
Iceland,71345.0,169.75931591090227,9.1,0.9,7.098903696053558,0.949,9.37,40.0,0.3980069767987734,0.7509999999999999,0.002,0.004,0.0751440625183371,2.0,15.0,21016.287084372492,0.81,0.268,5113.0,11.2,1.75,30.3,21.9,0.978,37.1,77.1,280340.4901516958,0.77,82.3,84.8,33.0,89.83242783821831,32.7,7.5,10.3,225.82,2022.494,1767.0,3260.0,1.75
India,2116.0,55.76,5.7,3.1,2.9,0.645,6.61,4.924456247814021,0.9,0.023,0.146,0.008,0.0003,34.3,7.0,709.0,0.2019999999999999,0.3779999999999999,275.0,12.9,2.202,48.9,3.9,0.616,28.7,55.2,554.0,1.1,70.8,5.2,35.0,45.4,22.2,3.1,15.0,84.5,100.387,90000.0,2360.0,23.65
Indonesia,4136.0,48.04268937312463,0.8,0.4,1.0903297793847488,0.718,6.3,11.0,0.99,0.1072,0.867,0.008,6.300000000000001e-06,23.9,8.0,2477.0,0.37,0.39,375.0,2.6,2.288,41.8,6.9,0.7929999999999999,31.1,65.8,3192.0,1.05,71.3,8.3,93.0,70.1,19.0,3.6,136.0,14.82,100.676,135081.0,2550.0,25.85
Iran,7282.0,34.894986437281204,1.0,2.5,-1.3773154348428753,0.783,2.2,46.91561717271131,0.73,0.004,0.994,0.001,0.00053,13.9,12.0,1275.0,0.02,0.408,1691.0,5.1,2.146,21.4,25.8,0.955,31.7,51.1,49714.0,1.04,77.3,23.1,228.0,36.8,23.8,4.0,1.9,46.69,590.537,102691.0,3050.0,17.25
Iraq,5730.0,65.29994817319573,0.4,10.1,0.30500841484714736,0.674,3.62,15.456029988957027,0.84,0.03,0.957,0.001,-0.04232406518544518,25.9,9.0,2538.0,0.44,0.295,716.0,4.7,3.597,28.0,30.4,0.492,21.2,59.23383852849702,119664.0,2.78,72.4,38.328231652490246,126.0,20.4,25.3,3.5,304.0,22.18,158.013,3392.86153438317,2919.724079866581,21.4
Ireland,81637.0,112.81,13.0,0.9,6.399271047155237,0.955,9.05,52.0,0.54,0.838,0.0139999999999999,0.002,0.00016,3.3,10.0,23395.0,7.01,0.3279999999999999,5897.0,8.9,1.7,35.5,25.3,0.835,37.8,80.5,316540.7515768337,0.78,81.8,106.3,74.0,103.5757524837627,34.8,3.7,16.0,291.86,1488.786,56262.59049041919,3590.0,9.3
Israel,46376.0,147.36,3.8,1.5,5.6,0.919,7.84,46.0,0.51,0.035,0.18,0.003,0.4,3.7,12.0,17842.0,0.33,0.39,3207.0,5.2,3.01,31.3,26.1,0.81,30.4,72.8,47.0,1.55,82.6,97.1,234.0,79.8,25.0,5.8,29.0,193.6,1459.76,8411.0,3530.0,19.2
Italy,33090.0,90.93,7.5,0.6,1.6,0.892,7.74,25.0,0.72,0.83,0.048,0.002,0.0017,3.1,14.0,11830.048690046748,1.41,0.359,3624.0,4.3,1.27,26.4,19.9,0.8340000000000001,46.5,62.2,1189.0,-0.13,83.0,90.4,89.0,96.7,31.3,3.8,8.4,246.88,1175.048,61966.0,3650.0,13.45
Jamaica,5369.0,37.95,4.2,43.9,16.010982964769266,0.734,7.13,-22.996026703320666,0.7,0.653,0.002,0.001,1.3e-05,13.9,11.880987137820336,2730.0,1.22,0.455,559.0,2.3,1.965,19.3,24.7,0.48,29.4,68.6,-44943.82750584323,0.29,76.0,56.8,137.0,66.6,33.2,5.4,26.656911670186332,91.13,55.88,-9873.750766757548,2840.0,24.95
Japan,40063.0,167.18,8.0,0.3,1.0,0.919,8.13,60.0,0.24,0.023,0.001,0.362,6.3e-05,2.5,14.0,15646.0,0.96,0.3289999999999999,4504.0,12.2,1.36,33.3,4.3,0.915,48.6,72.1,30.0,-0.23,84.3,45.9,38.0,104.76631439887674,29.3,3.6,0.3,72.06,776.661,139078.0,2800.0,11.15
Jordan,4405.0,67.35,0.7,1.4,-1.1158405667026123,0.729,3.62,2.605724823357207,0.96,0.06,0.972,0.004,-0.009265934414847465,15.6,11.396735646400627,5408.0,0.83,0.337,738.0,2.0,2.691,31.48035086813745,35.5,0.65,23.5,66.5,153826.49841047273,2.17,77.9,29.8,198.0,87.7,23.8,3.6,0.0,77.68,263.614,511.0,3000.0,18.3
Kazakhstan,9793.0,56.12,7.7,5.1,5.744838406517848,0.825,3.14,47.56110794948697,0.53,0.262,0.7020000000000001,0.002,0.00016,10.5,14.0,887.0,0.91,0.275,784.0,18.1,2.9,33.2,21.0,0.759,31.6,65.4,88686.0,1.13,74.0,44.8,157.0,99.5,24.3,2.8,0.6,288.12,129.206,1226.0,3510.0,6.4
Kenya,1817.0,68.21230473218418,3.4,4.9,3.287105101227996,0.601,5.05,-3.3904301691870273,0.94,0.851,0.1119999999999999,0.001,1.9e-05,43.2,8.0,755.0,0.26,0.408,179.0,11.0,3.423,18.7,7.1,0.172,20.0,55.1,29399.511839975392,2.49,66.1,14.3,81.0,54.0,20.2,5.2,73.3,94.86,24.264,300.0,2030.0,24.75
Kuwait,31999.0,130.66,0.0,1.8,7.84349648459896,0.806,3.8,-0.08610568609148572,0.91,0.15,0.746,0.0279999999999999,-0.12632480670935042,7.9,7.0,2372.0,0.51,0.32961585841628493,3669.0,2.7,2.077,26.3,37.9,0.98,29.7,60.8,721575.0,1.78,81.0,60.2,117.0,69.5,27.5,3.8,515.6563994627297,157.66,242.67,196.0,3030.0,25.35
Kyrgyzstan,1318.0,48.12,6.2,2.2,7.906074464435841,0.697,4.21,23.395001607201323,0.72,0.142,0.85,0.001,2.5e-05,18.3,14.0,196.0,1.12,0.2769999999999999,260.0,8.3,3.3,31.7,16.6,0.366,27.3,57.485359763188725,169.0,1.44,74.2,39.0,161.0,92.5,21.8,6.1,32.02043384837208,210.92,21.732,1455.0,2660.0,1.55
Laos,2625.0,43.98,10.4,-7.099618890783653,5.115465159394118,0.613,1.77,37.55359639799423,0.97,0.022,0.001,0.6609999999999999,-0.004445184997476259,45.5,15.0,1869.0,0.53,0.364,167.0,6.0,2.626,61.1,5.3,0.248,24.0,57.4,138092.06055089523,1.45,68.5,15.0,130.0,58.6,20.5,2.9,82.27074445220347,2.92,12.32,88.0,2240.0,22.8
Latvia,17885.0,128.69,12.9,4.4,5.103179626897381,0.866,7.24,40.0,0.39,0.75,0.0015,0.001,0.00029,3.6,14.0,6853.0,1.26,0.356,1896.0,16.1,1.61,40.5,23.6,0.8220000000000001,44.4,70.4,-55011.98064869272,-1.03,75.4,45.7,175.0,99.9,28.2,4.7,35.3,174.11,735.302,2910.0,2990.0,5.6
Lebanon,7784.0,47.024768403522216,1.5,2.5,2.00695461710945,0.744,4.16,9.366375441996752,0.87,0.395,0.5770000000000001,0.002,-0.009802546047725569,7.2,12.97984404772887,5212.0,0.63,0.318,1086.0,2.8,2.075,44.1,32.0,0.693,33.7,51.1,25624.007410557482,0.57,76.4,63.1,205.0,60.2,28.8,2.5,24.74051606147242,114.52,258.914,3686.0,3090.0,16.4
Lesotho,1158.0,73.7869318587675,5.0,43.6,-8.99676307792276,0.527,6.3,91.0378061935481,0.5658062796791399,0.9,0.001,0.001,0.07616860739290915,86.4,6.818349962110945,978.0,0.53,0.449,309.0,87.5,3.108,23.5,16.6,0.316,24.7,53.1,40523.60696237545,1.31,50.7,15.4,92.0,51.4,20.9,6.5,-78.00735066235762,25.35,9.012,-57291.9525924613,2460.0,11.85
Liberia,523.0,-76.45008631241603,5.8,3.3,12.988055420625583,0.48,5.32,-23.041990889697757,0.94,0.855,0.2,0.001,0.10541553656164643,84.6,-4.1739892166468255,774.0,0.51,0.353,12643.0,7.4,4.247,14.2,9.9,0.078,18.0,49.7,-11890.914079526563,2.52,64.1,7.9,54.0,32.8,18.9,2.3,-642.4114367355068,3.04,5.188,236661.97064390915,2200.0,25.3
Libya,4810.0,117.45450486635082,0.0,-2.5880136915298095,2.379894203876909,0.724,1.95,-18.05597319497312,0.8628722135039135,0.027,0.97,0.003,-0.08247582296918343,11.5,14.0,3863.0,0.09,0.34496832455292725,-212.69243174357234,4.5,2.206,36.22201047369032,32.5,0.208,25.8,54.31145541795571,159383.0,1.33,75.8,28.6,139.0,24.2,29.2,2.3,405.0,75.0,24.257,26.0,3150.0,21.8
Lithuania,19795.0,132.67,15.0,4.6,8.092632657919884,0.882,7.13,55.0,0.42,0.8370000000000001,0.001,0.001,0.00015,3.7,14.0,8054.0,0.74,0.373,2313.0,20.2,1.61,36.3,26.3,0.8009999999999999,44.5,74.2,689.0,-0.55,76.0,49.5,216.0,99.8,27.3,4.0,14.1,295.46,809.278,3075.0,3430.0,6.2
Luxembourg,115481.0,154.26,13.0,0.3,9.110859761156403,0.916,8.68,50.0,0.39,0.7240000000000001,0.023,0.001,3.8e-05,2.8,18.0,28438.0,0.221,0.349,6048.0,8.6,1.34,29.5,22.6,0.945,39.5,75.9,782577.6166032547,1.27,82.4,141.7,83.0,101.18679575908405,31.1,4.0,37.5,255.3,1438.158,2000.0,3680.0,8.65
Madagascar,523.0,41.4,1.9,2.745164739899664,-2.0584314703465854,0.528,5.7,23.71834107663551,0.93,0.85,0.1,0.001,6.300000000000001e-06,50.6,10.564598010489943,397.0,0.41,0.426,79.0,9.2,4.026,44.0,5.3,0.095,20.3,56.6,4472.610733478381,2.67,65.3,17.6,102.0,49.4,18.4,2.8,-134.2792828651091,24.84,4.836,119.0,2130.0,22.65
Malawi,435.0,25.42226795169347,3.7,1.8,0.6580162177652136,0.483,5.74,16.36892942568369,0.99,0.8195,0.2,0.001,0.012635968399853481,41.6,12.523791020157036,288.0,0.39,0.447,120.0,10.6,4.127,25.8,5.8,0.141,16.8,51.4,5555.3545244534835,2.87,65.6,5.1,71.0,35.1,17.9,4.0,108.19807392956528,7.98,12.732,117.0,2150.0,21.9
Malaysia,11414.0,103.34,0.9,2.1,2.864785841488593,0.81,7.19,29.784510824307915,0.96,0.092,0.613,0.198,0.024747145577216356,8.6,10.0,2663.0,0.68,0.41,1194.0,5.8,1.983,28.9,15.6,0.804,29.2,74.0,21202.0,1.35,74.7,50.9,212.0,47.1,25.7,4.7,-50.42426941664297,25.28,750.475,15354.0,2890.0,25.4
Mali,887.0,129.3943194853291,1.3,3.694328583260713,2.520926677396904,0.434,3.93,18.105120666391855,0.95,0.024,0.95,0.001,0.02141693133587952,94.0,10.703496305937017,583.0,0.26,0.33,90.0,8.0,5.785,13.0,8.6,0.124,16.1,58.1,-6426.597789804662,2.99,62.8,19.0,33.0,13.6,16.7,3.1,164.0,98.68,4.718,14.0,2590.0,28.25
Malta,33752.0,134.48,8.1,1.6,-3.6994672049317336,0.895,7.68,57.520647629981255,0.86,0.916,0.026,0.001,6.300000000000001e-06,7.0,9.564276960213077,10668.0,6.91,0.292,3897.0,5.3,1.1,33.9,28.9,0.785,42.3,68.6,125829.2107484909,0.31,81.9,86.9,153.0,85.8,29.2,5.3,-14.685639822472297,190.06,960.733,404.0,3600.0,19.2
Mauritania,1678.0,101.95292717364555,0.0,9.249175753082362,3.239841968525601,0.546,3.92,21.087307607713683,0.98,0.0014,0.999,0.029701897334115684,-0.022921933881773437,72.9,7.0,981.0,0.76,0.326,190.0,5.5,4.503,21.902614495889857,12.7,0.209,21.0,55.7,25832.745975304562,2.69,68.4,29.9,53.0,26.6,19.0,2.6,-38.54606364769978,160.82,4.542,11077.406626276133,2810.0,27.65
Mauritius,11169.0,59.445983342316254,3.6,2.9,-21.875669684494994,0.804,8.14,95.81621182354135,0.9690081197780094,0.322,0.173,0.001,-0.01330977606507655,16.0,9.414170759205037,2983.0,20.07,0.368,1381.0,8.8,1.4,35.9,10.8,0.555,36.3,73.0,-387348.835484809,0.23,74.1,39.6,218.0,64.6,25.4,4.8,303.4826698941644,117.27,106.789,80.0,2930.0,22.4
Mexico,9849.0,48.35,6.5,29.1,-0.01681110386602447,0.779,6.07,21.0,0.73,0.889,0.0001,0.001,0.0025,14.2,12.0,3266.0,0.43,0.4539999999999999,1066.0,5.3,2.103,24.1,28.9,0.69,29.3,64.7,17142.0,1.23,76.0,58.6,166.0,78.9,26.0,4.9,35.4,111.87,129.534,7521.0,3260.0,21.0
Moldova,2957.0,114.01,15.2,4.1,7.417786314122274,0.75,5.78,9.9473929254072,0.72,0.953,0.004,0.04322422215621946,0.00012,14.4,14.0,1895.0,0.7,0.257,480.0,12.2,1.269,24.5,18.9,0.6845018450338631,37.7,59.1,84347.46943218305,-0.24,73.3,22.7,182.0,95.8,25.8,6.7,250.40058601547656,155.18,51.827,-15833.600913358758,2850.0,9.45
Mongolia,4295.0,43.67,7.4,6.2,-8.41552676491036,0.737,6.48,50.10766215257277,0.5628273936292773,0.013,0.05,0.551,-0.039101240586359665,15.6,14.0,1892.0,2.45,0.327,519.0,18.0,2.867,38.5,20.6,0.23,29.8,55.4,7739.0,1.5,68.1,108.8,154.0,94.6,26.0,4.1,-202.41850603098763,139.82,44.476,285.0,2240.0,-0.7
Montenegro,8825.0,64.44,8.0,2.2,7.883506295635421,0.829,5.77,32.30415216004664,0.71,0.7879999999999999,0.191,0.001,-0.015847343064828157,2.3,14.0,2645.0,1.51,0.39,1711.0,16.2,1.748,32.28152789794028,23.3,0.804,39.6,60.5,44012.701577514476,0.04,75.9,46.76847589409637,172.0,93.9,28.6,5.071377263405278,16.15028713073309,349.21,398.21,-6542.638850239884,2700.0,10.55
Morocco,3282.0,86.31778329105316,0.6,1.4,4.171326727063686,0.686,5.04,15.594617121430446,0.97,0.01,0.99,0.001,0.00013,21.4,12.0,3736.0,0.46,0.395,467.0,7.3,2.382,23.4,26.1,0.613,29.1,62.9,4.0,1.26,73.0,20.6,238.0,34.1,25.5,5.4,60.006356591702,54.68,140.359,3677.0,3260.0,17.1
Mozambique,504.0,21.188167657354484,2.4,3.5,2.4233128357805405,0.456,3.51,37.1392693545109,0.86,0.561,0.179,0.001,0.02632989971680133,74.2,16.0,576.0,0.72,0.54,118.0,23.2,4.783,27.8,7.2,0.209,17.0,48.6,58285.13538210393,2.86,58.1,5.6,63.0,26.0,17.5,6.5,246.0,4.79,4.713,-44082.031110670985,2070.0,23.8
Myanmar,1421.0,133.08392666197813,4.8,2.3,5.41248552116963,0.583,3.04,44.08060530111399,0.97,0.062,0.043,0.899,-0.016507259249700423,44.7,7.0,672.0,0.17,0.307,292.0,3.0,2.138,63.3,7.708473536759438,0.305,29.2,53.6,284.0,0.9,69.1,10.7,171.0,58.2,20.5,2.2,93.7,31.48,4.301,3660.0,1923.1737975152337,13.05
Namibia,4957.0,77.67020699442844,9.8,17.7,8.351847876977654,0.646,6.52,0.7610003858403047,0.92,0.9,0.004,0.001,6.300000000000001e-06,42.4,13.514320904233946,2232.5137459239522,0.64,0.591,883.0,13.5,3.344,27.0,17.2,0.381,21.8,58.7,18266.67300594184,2.12,64.6,34.0,295.0,56.7,29.2,8.4,81.45232364941063,73.05,63.718,106.0,2360.0,19.95
Nepal,1074.0,66.72607860160895,2.0,2.3,3.7136871632318207,0.602,5.22,26.56814300975128,0.93,0.009,0.042,0.103,0.03526805557776058,30.8,10.0,1430.0,0.16,0.3279999999999999,180.0,9.8,1.876,64.2,4.1,0.359,25.3,53.8,-54511.96247416398,1.09,70.9,10.0,86.0,20.8,17.9,5.2,1.9263370647809097,52.1,28.189,50918.473476145744,2340.0,8.1
Netherlands,53053.0,152.94,8.7,0.6,6.263419078182535,0.944,8.96,45.0,0.33,0.4039999999999999,0.051,0.002,0.0019,4.0,12.0,23315.0,4.53,0.285,5635.0,9.3,1.57,32.2,20.4,0.931,42.8,76.8,1070.0,0.29,81.8,89.3,63.0,93.69375977251579,30.9,5.5,21.0,341.47,1785.333,16502.0,3000.0,9.25
New Zealand,43264.0,153.88,10.7,0.7,-0.12479862616238424,0.931,9.25,39.0,0.33,0.37,0.009,0.016,0.00048,4.7,10.0,27407.0,0.9,0.3057261149150501,4024.0,10.3,1.72,29.6,30.8,0.901,37.2,84.4,7633.0,0.93,82.0,142.1,188.0,98.64551655919857,29.4,6.4,86.0,137.25,1663.247,3600.0,2810.0,10.55
Nicaragua,1913.0,39.667851797728986,5.2,7.2,4.057444646290293,0.66,3.6,32.35194867174917,0.7,0.846,0.001,0.001,-0.00463041551715726,16.6,13.0,1599.0,0.83,0.462,474.0,4.7,2.377,28.56660215921061,23.7,0.268,27.3,57.7,-792.1496511471414,1.07,75.0,14.9,332.0,49.2,20.6,4.3,56.852314209473036,85.16,6.805,27.0,2420.0,24.9
